,title,news_id,text,cluster,processed_text,x_pos,y_pos
12,Gov. Ron DeSantis' war on 'woke' appears to be losing steam in Florida,12,"Gov. Ron DeSantis' war on 'woke' appears to be losing steam in Florida. A federal court recently blocked most of a key DeSantis measure, the Stop WOKE Act. Courts have ruled against a number of the governor's conservative initiatives.",4,gov. desantis woke appear lose steam florida federal court recently block desantis measure stop woke court rule number governor conservative initiative,0.45418864,0.91108495
13,College swimmers and volleyball players sue NCAA over transgender policies,13,"College swimmers and volleyball players sue NCAA over transgender policies. Riley Gaines was among the college athletes who filed a lawsuit against the NCAA, accusing it of violating Title IX rights by allowing transgender swimmer Lia Thomas to compete.",6,college swimmer volleyball player ncaa transgender policy riley gaines college athlete file lawsuit ncaa accuse violate title right allow transgender swimmer thomas compete,-6.18447,1.5444918
14,Things to know about developments impacting LGBTQ+ rights across the US,14,Things to know about developments impacting LGBTQ+ rights across the US. The rights of LGBTQ+ people continue to be in flux across the U.S. with a new flurry of developments,2,thing know development impact lgbtq+ right right lgbtq+ continue flux u.s. flurry development,5.0831785,4.7333174
15,Riley Gaines among athletes suing NCAA over transgender policies,15,Riley Gaines among athletes suing NCAA over transgender policies. The NCAA is accused of violating Title IX by allowing transgender athlete Lia Thomas to compete at the national championships in 2022.,6,riley gaines athlete ncaa transgender policy ncaa accuse violate title allow transgender athlete thomas compete national championship 2022,-6.352767,1.4826375
16,'Love Lies Bleeding' is the queer erotic thriller Kristen Stewart fans have wanted,16,"'Love Lies Bleeding' is the queer erotic thriller Kristen Stewart fans have wanted. The movie Love Lies Bleeding is a fun and weird erotic thriller. It's set in the late 1980s and stars Kristen Stewart as a brooding gym manager who falls in love with a hitchhiking bodybuilder, played by Katy O'Brian. Directed by Rose Glass (Saint Maud), the …",3,love bleeding erotic thriller kristen stewart want movie love lies bleeding weird erotic thriller late 1980 star kristen stewart brood manager fall love hitchhike bodybuilder play katy o'brian direct rose glass saint maud,-9.004051,-11.784116
17,Riley Gaines: 'It's Time We Fight Back' Against NCAA's Trans Agenda,17,Riley Gaines: 'It's Time We Fight Back' Against NCAA's Trans Agenda. Women's sports advocate Riley Gaines has joined 15 other female athletes in a lawsuit against the NCAA over its transgender agenda.,6,riley gaines time fight ncaa trans agenda women sport advocate riley gaines join female athlete lawsuit ncaa transgender agenda,-6.425039,0.7860757
18,"Former students, parents speak on anti-LGBTQ bullying at Nex Benedict's school",18,"Former students, parents speak on anti-LGBTQ bullying at Nex Benedict's school. Nex Benedict's death has been ruled a suicide, shining a renewed spotlight on the intensifying environment in Oklahoma schools and anti-LGBTQ bullying.",0,student parent speak anti bullying benedict school benedict death rule suicide shine renew spotlight intensifying environment oklahoma school anti bullying,-13.446299,0.9592705
19,More than a dozen athletes sue NCAA over their transgender participation policy,19,More than a dozen athletes sue NCAA over their transgender participation policy. The lawsuit stems from an NCAA policy that allows transgender athletes to compete in the category of their affirmed gender on a sport-by-sport basis.,6,dozen athlete ncaa transgender participation policy lawsuit stem ncaa policy allow transgender athlete compete category affirm gender sport sport basis,-5.588962,1.1425593
20,Check out the lesbian wedding at the center of 'Anyone But You',20,Check out the lesbian wedding at the center of 'Anyone But You'. The romcom Anyone But You stars Sydney Sweeney and Glenn Powell as star-crossed loves who initially can’t stand each other a la Much Ado About Nothing. But a lesbian wedding Down Under is the central event around which Sweeney’s Bea and Powell’s Ben orbit. Qu…,3,check lesbian wedding center romcom star sydney sweeney glenn powell star cross love initially stand lesbian wedding central event sweeney powell orbit,-7.222481,-11.933122
21,Hungary’s PM urges supporters to ‘occupy Brussels’,21,"Hungary’s PM urges supporters to ‘occupy Brussels’. The EU leadership should “start trembling,” Hungary’s aggrieved Prime Minister Viktor Orban tells crowd at event commemorating revolution Read Full Article at RT.com",1,hungary urge supporter occupy brussels leadership start tremble hungary aggrieve prime minister viktor orban tell crowd event commemorate revolution rt.com,7.915353,-14.85539
22,Elliot Page: LGBTQQIAAP2S+-Themed Films Are Not 'Niche' Because 30% of Youth Identify as LGBTQQIAAP2S+,22,Elliot Page: LGBTQQIAAP2S+-Themed Films Are Not 'Niche' Because 30% of Youth Identify as LGBTQQIAAP2S+. Transgender actor Elliot Page is blasting Hollywood producers who feel that queer films are not movies for a mainstream audience.,3,elliot page lgbtqqiaap2s+-themed films niche youth identify lgbtqqiaap2s+ transgender actor elliot page blast hollywood producer feel film movie mainstream audience,-8.028708,-9.918362
23,Inside one of London's LGBTQ-friendly fitness classes,23,Inside one of London's LGBTQ-friendly fitness classes. Ryan Lanji runs sessions for people in the LGBT community who feel marginalised by mainstream gyms.,3,inside london friendly fitness class ryan lanji session community feel marginalise mainstream,-0.19542602,11.630547
24,Arizona Bookstore Nixes ‘Drag Show for Palestine’ Event After Backlash: ‘They Should Do This in Palestine’,24,"Arizona Bookstore Nixes ‘Drag Show for Palestine’ Event After Backlash: ‘They Should Do This in Palestine’. A bilingual Arizona bookstore canceled its family-friendly “Drag Show for Palestine” following backlash over the planned performance, with critics noting that drag shows — as well as any sort of LGBTQ expression — are strictly prohibited in Palestinian-contro…",3,arizona bookstore nixes drag palestine event backlash palestine bilingual arizona bookstore cancel family friendly drag palestine follow backlash plan performance critic note drag sort expression strictly prohibit palestinian contro,-14.831411,-8.151485
25,Missing University of Missouri student Riley Strain's bank card discovered as search continues,25,"Missing University of Missouri student Riley Strain's bank card discovered as search continues. Authorities discovered a clue in the case of missing University of Missouri college student Riley Strain, Sunday, who vanished while visiting Nashville...",0,missing university missouri student riley strain bank card discover search continue authority discover clue case miss university missouri college student riley strain sunday vanish visit nashville,-17.038069,-2.6857846
26,"The bomb scare, the police and the drag queen",26,"The bomb scare, the police and the drag queen. How a picture of a drag queen on a police Land Rover came to represent Northern Ireland's gay community.",8,bomb scare police drag queen picture drag queen police land rover come represent northern ireland community,2.9726083,-16.065987
27,This women’s roller derby league is standing up for trans athletes by suing their county,27,This women’s roller derby league is standing up for trans athletes by suing their county. A women's roller derby league in New York is suing their county over an ordinance that bans female sports teams with transgender athletes from using local facilities.,6,roller derby league stand tran athlete county roller derby league york county ordinance female sport team transgender athlete local facility,-4.896952,2.8026187
28,Colorado May Become First in Nation to Build Segregated Prison Cells for Transgender Inmates,28,Colorado May Become First in Nation to Build Segregated Prison Cells for Transgender Inmates. The state of Colorado may soon have to accommodate transgender women in prison due to a lawsuit filed in 2019.,5,colorado nation build segregated prison cells transgender inmates state colorado soon accommodate transgend prison lawsuit file 2019,-1.0608524,5.4249196
29,The Sydney sheikh on a mission to keep young Australian Muslims in the faith,29,The Sydney sheikh on a mission to keep young Australian Muslims in the faith. Sheikh Shadi Asuleiman is Australia's first home-grown Imam and the changing face of Islam here.,4,sydney sheikh mission young australian muslims faith sheikh shadi asuleiman australia home grow imam change face islam,-3.181007,-17.706064
30,Kingston's storied Grad Club facing closure as Queen's hikes rent,30,Kingston's storied Grad Club facing closure as Queen's hikes rent. It hosted some of The Tragically Hip's earliest concerts and has been a gathering place for Kingston's LGBTQ community. But now the Grad Club says it's facing a more than 300 per cent rent increase that could force its closure.,4,kingston story grad club face closure queen hike rent host tragically early concert gather place kingston community grad club face cent rent increase force closure,0.7765417,10.426499
31,"Transcript: Reps. Raja Krishnamoorthi and Mike Gallagher on ""Face the Nation,"" March 17, 2024",31,"Transcript: Reps. Raja Krishnamoorthi and Mike Gallagher on ""Face the Nation,"" March 17, 2024. The following is a transcript of an interview with Reps. Raja Krishnamoorthi, Democrat of Illinois, and Mike Gallagher, Republican of Wisconsin, that aired on March 17, 2024.",4,transcript reps raja krishnamoorthi mike gallagher face nation march 2024 follow transcript interview reps raja krishnamoorthi democrat illinois mike gallagher republican wisconsin march 2024,5.0512724,-9.411521
32,Best Of: Jenny Slate / Julio Torres,32,"Best Of: Jenny Slate / Julio Torres. Jenny Slate talks about childbirth and motherhood, the subjects of her new comedy special, Seasoned Professional. She'll do the voices of some of her animated characters, including Marcel from her Oscar-nominated film Marcel the Shell with Shoes On.Also, we h…",3,jenny slate julio torres jenny slate talk childbirth motherhood subject comedy special seasoned professional voice animate character include marcel oscar nominate film marcel shell shoes,-10.332386,-10.7434025
33,"Trans content creators say social media can be toxic, but won't let hate push them offline",33,"Trans content creators say social media can be toxic, but won't let hate push them offline. Fae Johnstone and Lauren Sundstrom have large social media followings which also attract a lot of hate. But they are adamant that they won't be forced into the social media shadows by what they say are transphobic commenters and trolls.",8,tran content creator social medium toxic hate push offline johnstone lauren sundstrom large social medium following attract hate adamant force social medium shadow transphobic commenter troll,3.1528296,-0.8260844
34,Gallup poll: The number of American adults identifying as LGBTQ+ has more than doubled in the last 12 years,34,"Gallup poll: The number of American adults identifying as LGBTQ+ has more than doubled in the last 12 years. A recent annual survey by Gallup reveals that the number of Americans who identify as members of the LGBTQ+ community has doubled since 2012, with nearly 30 percent of Gez Z women identifying as not heterosexual. The survey was conducted on more than 12,000 A…",5,"gallup poll number american adult identify lgbtq+ double year recent annual survey gallup reveal number americans identify member lgbtq+ community double 2012 nearly percent identify heterosexual survey conduct 12,000",5.247097,5.5238523
35,EU candidate plans ‘LGBT propaganda’ bill,35,"EU candidate plans ‘LGBT propaganda’ bill. Georgia needs to ban “LGBT propaganda,” the country’s top MP has said Read Full Article at RT.com",2,candidate plan propaganda bill georgia need propaganda country rt.com,8.1129875,-0.24994074
36,New video shows college student briefly speak with police on night he vanished,36,New video shows college student briefly speak with police on night he vanished. Newly released video shows missing college student Riley Strain briefly speak with a police officer on the night he vanished in Nashville.,0,video college student briefly speak police night vanish newly release video miss college student riley strain briefly speak police officer night vanish nashville,-16.8424,-2.6956935
37,"GOP lawmakers call for Alabama space camp employee to be fired, simply for being transgender",37,"GOP lawmakers call for Alabama space camp employee to be fired, simply for being transgender. An Alabama resident sparked a transphobic backlash against an employee at the U.S. Space and Rocket Center's Space Camp in Huntsville, leading to calls for the employee to be fired because she is transgender.",6,lawmaker alabama space camp employee fire simply transgend alabama resident spark transphobic backlash employee u.s. space rocket center space camp huntsville lead employee fire transgender,-4.627439,5.6567082
38,"'Will & Grace' star says roles should go to best actors, irrespective of sexuality",38,"'Will & Grace' star says roles should go to best actors, irrespective of sexuality. Eric McCormack weighs in on the debate about whether non-LGBTQ actors should be able to play gay.",3,grace star role good actor irrespective sexuality eric mccormack weigh debate actor able play,-7.440926,-11.1230955
39,Chasten Buttigieg takes on anti-trans bullies during Michigan State University lecture,39,"Chasten Buttigieg takes on anti-trans bullies during Michigan State University lecture. Chasten Buttigieg is not backing down as he continues to call attention to the anti-LGBTQ+ atmosphere of bullying that contributed to the death of Oklahoma teen Nex Benedict. In an evocative lecture at Michigan State University’s Department of Theatre, Buttig…",8,chasten buttigieg anti trans bully michigan state university lecture chasten buttigieg continue attention anti lgbtq+ atmosphere bullying contribute death oklahoma teen benedict evocative lecture michigan state university department theatre buttig,-11.602277,0.4709301
40,California parents oust school board members who enacted anti-LGBTQ+ policy,40,California parents oust school board members who enacted anti-LGBTQ+ policy. Parents in Southern California have voted to remove two conservative school board members after they spearheaded a policy that forcibly outs transgender students to their guardians.,2,california parent oust school board member enact anti lgbtq+ policy parent southern california vote remove conservative school board member spearhead policy forcibly transgend student guardian,2.308223,4.0820646
41,Former Olympian Caitlyn Jenner backs New York county's ban on transgender female athletes,41,Former Olympian Caitlyn Jenner backs New York county's ban on transgender female athletes. Former Olympic gold medalist Caitlyn Jenner on Monday said she supported a local New York official’s order banning female sports teams with transgender...,6,olympian caitlyn jenner york county transgender female athlete olympic gold medalist caitlyn jenner monday support local york official order female sport team transgender,-3.9691012,1.2073923
42,Kentucky lawmakers seek to criminalize 'disruptive conduct' after LGBTQ+ protest,42,"Kentucky lawmakers seek to criminalize 'disruptive conduct' after LGBTQ+ protest. After 19 protesters were arrested when the legislature passed a sweeping anti-LGBTQ+ bill, lawmakers are considering new punishments — which civil rights activists say could limit free speech.",2,kentucky lawmaker seek criminalize disruptive conduct lgbtq+ protest protester arrest legislature pass sweeping anti lgbtq+ bill lawmaker consider punishment civil right activist limit free speech,13.444348,0.2949463
43,Idaho considers a ban on using public funds or facilities for transgender care,43,"Idaho considers a ban on using public funds or facilities for transgender care. Idaho lawmakers are expected to vote this week on a bill that would ban the use of any public funds for gender-affirming care, including for state employees using work health insurance and for adults covered by Medicaid.",6,idaho consider public fund facility transgender care idaho lawmaker expect vote week bill public fund gender affirm care include state employee work health insurance adult cover medicaid,-0.8366585,4.645005
44,April Fool’s? Calling a male person a “man” ILLEGAL in Scotland starting April 1,44,"April Fool’s? Calling a male person a “man” ILLEGAL in Scotland starting April 1. In a few short weeks, it will no longer be legal for people in Scotland to refer to males as “men,” thanks to the passage of the Hate Crime and Public Order (Scotland) Bill. Said bill was passed three years ago, but will only just now come into effect on Apri…",8,april fool male person illegal scotland start april short week long legal scotland refer male thank passage hate crime public order scotland bill said bill pass year come effect apri,16.441511,-1.4719602
45,Southern states push forward with bills ending legal recognition for trans people,45,"Southern states push forward with bills ending legal recognition for trans people. The pace of anti-transgender legislation has slowed in recent weeks, with several states, known for previously targeting transgender individuals, failing to pass any such laws. However, a different dynamic is emerging across the Gulf South, where three states…",2,southern state push forward bill legal recognition tran pace anti transgender legislation slow recent week state know previously target transgender individual fail pass different dynamic emerge gulf south state,0.69531435,5.1706414
46,Wisconsin middle school faces series of bomb threats after Libs of TikTok post,46,Wisconsin middle school faces series of bomb threats after Libs of TikTok post. A school district in Wisconsin is the latest institution receiving bomb threats after right-wing extremist Chaya Raichik targeted it with her Libs of TikTok account.,8,wisconsin middle school face series bomb threat libs tiktok post school district wisconsin late institution receive bomb threat right wing extremist chaya raichik target libs tiktok account,7.718767,-4.6671743
47,Bartender charged with hate crime for confronting male-to-female transgender who used women’s bathroom,47,"Bartender charged with hate crime for confronting male-to-female transgender who used women’s bathroom. Multnomah County Circuit Court recently found a Portland bartender guilty of a hate crime because she “misgendered” a male sex at birth (AMAB) male-to-female (M2F) transgender woman who used the women’s bathroom. Cassandra McIntyre, 40, was also charged with …",6,bartender charge hate crime confront male female transgender bathroom multnomah county circuit court recently find portland bartender guilty hate crime misgendere male birth amab male female transgender bathroom cassandra mcintyre charge,-9.267774,5.7095523
48,Planet Fitness bans member who photographed trans woman changing — and it's not sorry,48,Planet Fitness bans member who photographed trans woman changing — and it's not sorry. Planet Fitness is standing behind its decision to ban a member who photographed a transgender woman in a locker room.,6,planet fitness member photograph trans change sorry planet fitness stand decision member photograph transgender locker room,-3.0224266,0.9411051
49,BYU now requires incoming students to read controversial 'musket fire' speech,49,BYU now requires incoming students to read controversial 'musket fire' speech. LGBTQ students and advocates at BYU in Utah slammed the school for requiring all freshmen read a controversial 2021 speech that they say incited violence and hatred against the queer community.,2,require incoming student controversial musket fire speech student advocate utah slam school require freshman controversial 2021 speech incite violence hatred community,7.7651577,3.889043
50,"Bearded Spanish Army corporal “equipped with male organs” legally changes gender identity to unlock better military pay package, private rooms",50,"Bearded Spanish Army corporal “equipped with male organs” legally changes gender identity to unlock better military pay package, private rooms. In Ceuta, Spain, around 40 men have declared gender change (from male to female) but maintained their name, and marital status, thus continuing with their partner and children, since the Transgender Law came into effect last year. One of them is a 35-year-old…",7,bearded spanish army corporal equip male organ legally change gender identity unlock military package private room ceuta spain declare gender change male female maintain marital status continue partner child transgender come effect year year,-2.5368786,-4.3917103
51,Minnesota Appeals Court Affirms State Law Preventing Ban on Trans Athletes,51,"Minnesota Appeals Court Affirms State Law Preventing Ban on Trans Athletes. A Minnesota appeals court has affirmed that banning transgender ""women"" from competing as a woman in sports is a violation of Minnesota law.",6,minnesota appeals court affirms state preventing trans athletes minnesota appeal court affirm transgend compete sport violation minnesota,-3.1880224,2.150373
52,"When Real Life Is Hostile, LGBTQ+ Gamers Find Friendship Online",52,"When Real Life Is Hostile, LGBTQ+ Gamers Find Friendship Online. Many LGBTQ+ video gamers use gaming to build community, especially in jurisdictions that are considering anti-LGBTQ+ legislation",2,real life hostile lgbtq+ gamer find friendship online lgbtq+ video gamer gaming build community especially jurisdiction consider anti lgbtq+ legislation,3.8995795,1.0925523
53,Families Find Ways to Protect Their LGBTQ Kids from Serious Harm—Physical and Mental—after a Flood of Discriminatory Laws,53,"Families Find Ways to Protect Their LGBTQ Kids from Serious Harm—Physical and Mental—after a Flood of Discriminatory Laws. Hostility toward LGBTQ kids, enshrined in hundreds of new bills, has put families with such children under unprecedented threat, raising risks of suicide and physical attacks",2,family find protect harm physical mental flood discriminatory laws hostility enshrine bill family child unprecedented threat raise risk suicide physical attack,3.8258753,3.7531617
54,"New Insights from AI, Strange Metals and Parents of LGBTQ Kids",54,"New Insights from AI, Strange Metals and Parents of LGBTQ Kids. AI has deciphered ancient texts, learned new math and provided new ideas about human consciousness",3,insights strange metals parents kids decipher ancient text learn math provide idea human consciousness,3.099138,5.269593
55,Pastor warns against gospel music  because '78%' of musicians are gay,55,"Pastor warns against gospel music  because '78%' of musicians are gay. Even gospel music isn't safe from the evil gays, according to Ghanaian pastor and musician Sonnie Badu.",2,pastor warn gospel music musician gospel music safe evil accord ghanaian pastor musician sonnie badu,13.645808,3.3563864
56,Contributors to Scientific American’s April 2024 Issue,56,"Contributors to Scientific American’s April 2024 Issue. Writers, artists, photographers and researchers share the stories behind the stories",3,contributor scientific american april 2024 issue writer artist photographer researcher share story story,-6.5488825,12.764808
57,Pope puts retirement rumours to rest in new memoir,57,"Pope puts retirement rumours to rest in new memoir. The 87-year-old pontiff says he sees ""no justification"" for giving the post up, despite a spate of health issues.",4,pope retirement rumour rest memoir year pontiff justification post despite spate health issue,-18.006506,1.5889169
58,Caitlyn Jenner backs N.Y. county's ban on trans women competing on women's sports teams,58,"Caitlyn Jenner backs N.Y. county's ban on trans women competing on women's sports teams. Former Olympic gold medal champion Caitlyn Jenner said transgender athletes should not be able to compete in women’s sports, voicing her support for a New York county’s controversial executive restricting trans women athletes.",6,caitlyn jenner n.y. county trans compete sport team olympic gold medal champion caitlyn jenner transgender athlete able compete sport voice support york county controversial executive restrict trans athlete,-3.9698904,1.196394
59,Trump ally Bernie Moreno wins Republican primary for U.S. Senate from Ohio,59,"Trump ally Bernie Moreno wins Republican primary for U.S. Senate from Ohio. Bernie Moreno, an ally of Donald Trump, has won the Republican nomination for U.S. Senate from Ohio and will face Democratic incumbent Sherrod Brown, a longtime supporter of LGBTQ+ rights, in November.",4,trump ally bernie moreno republican primary u.s. senate ohio bernie moreno ally donald trump republican nomination u.s. senate ohio face democratic incumbent sherrod brown longtime supporter lgbtq+ right november,-1.6256845,-11.505637
60,Survey: Support for same-sex marriage in America drops for the first time since 2015,60,"Survey: Support for same-sex marriage in America drops for the first time since 2015. A survey by the Public Religion Research Institute (PRRI) finds that Americans’ support for same-sex marriage has declined for the first time since 2015, when the Supreme Court’s Obergefell v. Hodges decision guaranteed same-sex couples the fundamental right …",2,survey support marriage america drop time 2015 survey public religion research institute prri find americans support marriage decline time 2015 supreme court obergefell hodges decision guarantee couple fundamental right,7.693182,7.262886
61,Elon Musk’s X bans transgender Harvard lawyer for naming a neo-Nazi,61,"Elon Musk’s X bans transgender Harvard lawyer for naming a neo-Nazi. Alejandra Caraballo, a transgender attorney and clinical instructor at Harvard Law School’s Cyberlaw Clinic, has been permanently ban from X (formerly Twitter) for amplifying news of an alleged neo-Nazi’s identity, adding to questions about the platform’s sta…",6,elon musk transgend harvard lawyer nazi alejandra caraballo transgender attorney clinical instructor harvard school cyberlaw clinic permanently twitter amplify news alleged nazi identity question platform,-7.998487,3.516835
62,Being an LGBTQ+ Student In The US Today,62,Being an LGBTQ+ Student In The US Today. What do LGBTQ+ youth in America need right now?<br/><br/>The death of Nex Benedict was ruled as a suicide by a medical examiner in Oklahoma. Hundreds of anti-Trans legislation has been proposed and passed by state legislatures since 2021.<br/><br/>According t…,2,lgbtq+ student today lgbtq+ youth america need right now?<br/><br/>the death benedict rule suicide medical examiner oklahoma anti trans legislation propose pass state legislature 2021.<br/><br/>accorde,3.629607,4.8393703
63,Navy vet opposes Moms for Liberty-backed homeschool advocate for Florida school board seat,63,"Navy vet opposes Moms for Liberty-backed homeschool advocate for Florida school board seat. Travis Akers, a veteran and well-known activist, is running for a seat on the Duval County Public Schools board in northern Florida. His opponent for the District 7 seat, Melody Bolduc, is linked to the far-right group Moms for Liberty, setting the stage for …",4,navy oppose liberty homeschool advocate florida school board seat travis akers veteran know activist seat duval county public schools board northern florida opponent district seat melody bolduc link right group moms liberty stage,-9.701713,-0.6397412
64,Diverse books left in trash at NYC school with worrying notes: 'Not approved',64,Diverse books left in trash at NYC school with worrying notes: 'Not approved'. A school in Staten Island is being investigated after hundreds of new books were found in the trash containing notes that seemingly detailed why they were removed.,3,diverse book leave trash school worrying note approve school staten island investigate book find trash contain note seemingly detail remove,7.0321097,-1.708644
65,The Dangers of Fast Science,65,"The Dangers of Fast Science. Scientific research needs to slow down, not speed up, to produce trustworthy results",4,dangers fast science scientific research need slow speed produce trustworthy result,-6.7872124,13.231292
66,Stormont minister 'concerned' at PSNI Pride stance,66,Stormont minister 'concerned' at PSNI Pride stance. PSNI officers are no longer allowed to attend Pride events while wearing uniform.,8,stormont minister concern psni pride stance psni officer long allow attend pride event wear uniform,10.8524685,-11.199707
67,"Mark Robinson, GOP nominee for North Carolina governor, has history of inflammatory remarks",67,"Mark Robinson, GOP nominee for North Carolina governor, has history of inflammatory remarks. North Carolina's Republican nominee for governor, Lt. Gov. Mark Robinson, has a history of inflammatory remarks that have been circulating widely since the primary in early March. Over the past few years, he's made controversial comments about a range of topi…",4,mark robinson nominee north carolina governor history inflammatory remark north carolina republican nominee governor gov. mark robinson history inflammatory remark circulate widely primary early march past year controversial comment range topi,-9.762299,-3.7550075
68,Trump’s Ohio Senate Pick Bernie Moreno Faces Establishment Challenge In Tonight’s Primary,68,Trump’s Ohio Senate Pick Bernie Moreno Faces Establishment Challenge In Tonight’s Primary. Moreno would face Democratic Sen. Sherrod Brown in a toss-up race if he wins Tuesday’s primary.,4,trump ohio senate pick bernie moreno faces establishment challenge tonight primary moreno face democratic sen. sherrod brown toss race tuesday primary,-1.6005361,-11.669523
69,Chicago police release alleged cartel member suspected of shooting migrant trans woman,69,"Chicago police release alleged cartel member suspected of shooting migrant trans woman. The 29-year-old alleged cartel member suspected of shooting a migrant transgender woman outside a club in Chicago last month was let go by police without charges despite evidence connecting him to the crime, according to the Chicago Sun-Times.",8,chicago police release alleged cartel member suspect shoot migrant tran year allege cartel member suspect shoot migrant transgender outside club chicago month police charge despite evidence connect crime accord chicago times,-11.378764,4.7959385
