,news_id,subject,relation,object
146,8,Prominent Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny
147,8,Prominent Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his current hardline positions
148,8,Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his hardline positions
149,8,Prominent Ohio U.S. Senate candidate Bernie Moreno,lauded for,his advocacy LGBTQ community
150,8,Prominent Ohio U.S. Senate candidate Bernie Moreno,once lauded for,his advocacy LGBTQ community
151,8,Republican Ohio U.S. Senate candidate Bernie Moreno,once lauded for,his advocacy
152,8,Republican Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his conservative positions
153,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno,lauded for,his advocacy LGBTQ community
154,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his current hardline positions
155,8,Prominent Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his current hardline positions
156,8,Republican Ohio U.S. Senate candidate Bernie Moreno,lauded for,his advocacy LGBTQ community
157,8,Ohio U.S. Senate candidate Bernie Moreno,once lauded for,his advocacy
158,8,Prominent Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his current positions
159,8,Ohio U.S. Senate candidate Bernie Moreno,lauded for,his advocacy
160,8,Prominent Republican Ohio U.S. Senate candidate Bernie Moreno scrutiny,lauded for,his advocacy
161,8,Prominent Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his current positions
162,8,Prominent Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny
163,8,Republican Ohio U.S. Senate candidate Bernie Moreno,faces,scrutiny over his hardline positions
164,8,Prominent Ohio U.S. Senate candidate Bernie Moreno,now faces,scrutiny over his conservative positions
165,9,J.K. Rowling,persecuted,trans people
166,9,J.K. Rowling,persecuted,books
167,9,J.K. Rowling,persecuted,burned books
168,9,J.K. Rowling,known for,her stances
169,9,J.K. Rowling,known for,her anti-transgender stances
170,9,Germany,’s,Nazi regime
171,9,J.K. Rowling media post,well known for,her anti-transgender stances
172,9,J.K. Rowling,well known for,her stances
173,9,J.K. Rowling social media post,well known for,her anti-transgender stances
174,9,J.K. Rowling social media post,well known for,her stances
175,9,J.K. Rowling social media post,known for,her stances
176,9,J.K. Rowling,questioned,media post
177,9,J.K. Rowling,recently questioned,media post
178,9,J.K. Rowling media post,well known for,her stances
179,9,J.K. Rowling,questioned,social media post
180,9,J.K. Rowling media post,known for,her stances
181,9,J.K. Rowling,recently questioned,social media post
182,9,J.K. Rowling,well known for,her anti-transgender stances
183,9,poster,should do,fact checking
184,9,J.K. Rowling media post,known for,her anti-transgender stances
185,9,it,be,fever dream
186,9,J.K. Rowling social media post,known for,her anti-transgender stances
187,10,Toxicology experts,say death from,medications
188,10,Toxicology experts,say from,medications
189,10,Toxicology experts,say from,medications in Nex Benedict case
190,10,Toxicology experts,say,death
191,10,Toxicology experts,say death from,medications in Nex Benedict case
192,10,medications,is in,Nex Benedict case
193,10,death,has ignited,debate on issues including rampant bullying faced by LGBTQ students in schools
194,10,nationwide debate,death of,year old transgender student of Indigenous heritage from Oklahoma
195,10,death,has ignited,debate on several issues including rampant bullying faced by LGBTQ students
196,10,death,has ignited,debate on issues including rampant bullying faced by LGBTQ students
197,10,death,has ignited,nationwide debate on several issues
198,10,death,has ignited,nationwide debate on issues including rampant bullying faced by LGBTQ students in schools
199,10,nationwide debate,death of,16 year old transgender student of Indigenous heritage from Oklahoma
200,10,death,has ignited,debate on issues including rampant bullying
201,10,death,has ignited,debate on several issues including rampant bullying
202,10,death,has ignited,debate on several issues including rampant bullying faced by LGBTQ students in schools
203,10,death,has ignited,nationwide debate on several issues including bullying faced by LGBTQ students in schools
204,10,death,has ignited,nationwide debate on several issues including bullying
205,10,death,has ignited,debate on issues including bullying faced
206,10,death,has ignited,nationwide debate on issues including bullying faced
207,10,death,has ignited,nationwide debate on issues including rampant bullying faced by LGBTQ students
208,10,death,has ignited,debate on several issues including bullying faced by LGBTQ students
209,10,death,has ignited,debate on several issues including bullying faced by LGBTQ students in schools
210,10,death,has ignited,nationwide debate on several issues including rampant bullying
211,10,death,has ignited,debate on issues
212,10,death,has ignited,nationwide debate on several issues including rampant bullying faced by LGBTQ students
213,10,debate,death of,16 year old transgender student of Indigenous heritage from Oklahoma
214,10,death,has ignited,nationwide debate on issues
215,10,death,has ignited,nationwide debate on issues including rampant bullying faced
216,10,death,has ignited,debate on several issues
217,10,death,has ignited,nationwide debate on issues including bullying faced by LGBTQ students in schools
218,10,death,has ignited,debate on issues including bullying
219,10,death,has ignited,nationwide debate on issues including bullying
220,10,death,has ignited,nationwide debate on several issues including rampant bullying faced
221,10,death,has ignited,debate on issues including bullying faced by LGBTQ students in schools
222,10,death,has ignited,nationwide debate on issues including rampant bullying
223,10,Nex Benedict,student of,Indigenous heritage from Oklahoma
224,10,death,has ignited,debate on issues including bullying faced by LGBTQ students
225,10,death,has ignited,debate on several issues including bullying faced
226,10,debate,death of,year old transgender student of Indigenous heritage from Oklahoma
227,10,LGBTQ students,is in,schools
228,10,death,has ignited,debate on issues including rampant bullying faced
229,10,death,has ignited,debate on several issues including bullying
230,10,death,has ignited,nationwide debate on several issues including bullying faced
231,10,death,has ignited,debate
232,10,death,has ignited,debate on several issues including rampant bullying faced
233,10,death,has ignited,nationwide debate
234,10,death,has ignited,nationwide debate on several issues including rampant bullying faced by LGBTQ students in schools
235,10,death,has ignited,nationwide debate on issues including bullying faced by LGBTQ students
236,10,death,has ignited,nationwide debate on several issues including bullying faced by LGBTQ students
237,11,LGBTQ,is in,Africa
238,11,Tough laws,are often preceded by,lobbying of hardliners
239,11,Tough laws,are preceded by,lobbying
240,11,Tough laws,are preceded by,lobbying of American hardliners
241,11,laws,are preceded by,lobbying
242,11,laws,are preceded by,lobbying of American hardliners
243,11,Tough laws,are often preceded by,lobbying of American hardliners
244,11,Tough laws,are often preceded by,lobbying
245,11,laws,are often preceded by,lobbying of American hardliners
246,11,laws,are often preceded by,lobbying
247,11,laws,are often preceded by,lobbying of hardliners
248,11,Tough laws,are preceded by,lobbying of hardliners
249,11,laws,are preceded by,lobbying of hardliners
250,11,they,campaign against,equality
251,12,Gov. Ron DeSantis ' war,losing,steam
252,12,Gov. Ron DeSantis ' war,losing steam in,Florida
253,12,federal court,blocked,most of DeSantis measure
254,12,court,blocked,most of key DeSantis measure
255,12,federal court,recently blocked,most of key DeSantis measure
256,12,court,blocked,Stop WOKE Act
257,12,court,blocked,most of DeSantis measure
258,12,federal court,blocked,Stop WOKE Act
259,12,federal court,blocked,most of key DeSantis measure
260,12,federal court,blocked,most
261,12,court,recently blocked,most
262,12,court,recently blocked,most of DeSantis measure
263,12,federal court,recently blocked,most
264,12,court,recently blocked,Stop WOKE Act
265,12,federal court,recently blocked,Stop WOKE Act
266,12,federal court,recently blocked,most of DeSantis measure
267,12,court,recently blocked,most of key DeSantis measure
268,12,court,blocked,most
269,12,governor,against,conservative initiatives
270,13,volleyball players,sue,NCAA
271,13,volleyball players,sue NCAA over,transgender policies
272,13,College swimmers,sue NCAA over,policies
273,13,College swimmers,sue NCAA over,transgender policies
274,13,volleyball players,sue NCAA over,policies
275,13,College swimmers,sue,NCAA
276,13,Riley Gaines,was among,college athletes
277,14,Things,know about,developments
278,14,rights,be in,flux with new flurry of developments
279,14,LGBTQ people,rights of be,flux across U.S. with new flurry
280,14,rights,continue,to flux with flurry
281,14,LGBTQ people,rights of be,flux with flurry of developments
282,14,rights,be in,flux across U.S. with flurry of developments
283,14,rights,continue,to flux with new flurry of developments
284,14,LGBTQ people,rights of be,flux across U.S. with flurry of developments
285,14,rights,continue,to flux with new flurry
286,14,rights,continue,to flux across U.S. with new flurry of developments
287,14,rights,be in,flux across U.S. with flurry
288,14,rights,be in,flux with flurry
289,14,LGBTQ people,rights of be,flux with new flurry of developments
290,14,rights,continue,flux
291,14,LGBTQ people,rights of be,flux with new flurry
292,14,rights,continue,flux with new flurry of developments
293,14,LGBTQ people,rights of be,flux across U.S. with new flurry of developments
294,14,LGBTQ people,rights of be,flux
295,14,rights,continue,to flux across U.S. with flurry
296,14,rights,be in,flux with new flurry
297,14,rights,continue,to flux across U.S. with new flurry
298,14,rights,continue,flux across U.S. with flurry of developments
299,14,rights,continue,flux with flurry of developments
300,14,rights,continue,flux across U.S. with flurry
301,14,LGBTQ people,rights of be,flux across U.S. with flurry
302,14,rights,continue,to flux across U.S.
303,14,rights,continue,to flux with flurry of developments
304,14,rights,continue,flux across U.S. with new flurry
305,14,rights,continue,to flux
306,14,rights,continue,flux with new flurry
307,14,LGBTQ people,rights of be,flux across U.S.
308,14,rights,be in,flux with flurry of developments
309,14,rights,continue,flux across U.S. with new flurry of developments
310,14,to flux,is with,new flurry of developments
311,14,rights,be in,flux across U.S.
312,14,rights,be in,flux across U.S. with new flurry
313,14,rights,be in,flux across U.S. with new flurry of developments
314,14,rights,continue,flux with flurry
315,14,LGBTQ people,rights of be,flux with flurry
316,14,rights,be in,flux
317,14,rights,continue,to flux across U.S. with flurry of developments
318,14,rights,continue,flux across U.S.
319,15,transgender athlete Lia Thomas,compete at,national championships
320,15,NCAA,allowing,transgender athlete Lia Thomas
321,15,transgender athlete Lia Thomas,compete in,2022
322,15,athlete Lia Thomas,compete at,championships
323,15,athlete Lia Thomas,compete at,national championships
324,15,athlete Lia Thomas,compete in,2022
325,15,NCAA,allowing,compete
326,15,NCAA,allowing,athlete Lia Thomas
327,15,NCAA,allowing,compete at national championships
328,15,NCAA,allowing,compete at championships
329,15,NCAA,allowing,to compete at championships
330,15,NCAA,is accused of,violating Title IX
331,15,NCAA,is accused of,Title IX
332,15,NCAA,is,accused
333,15,NCAA,allowing,to compete
334,15,NCAA,allowing,to compete in 2022
335,15,transgender athlete Lia Thomas,compete at,championships
336,15,NCAA,allowing,to compete at national championships
337,15,NCAA,is accused,allowing
338,15,NCAA,is accused,by allowing
339,15,NCAA,allowing,compete at national championships in 2022
340,15,NCAA,allowing,compete at championships in 2022
341,15,NCAA,allowing,to compete at championships in 2022
342,15,NCAA,allowing,to compete at national championships in 2022
343,15,NCAA,allowing,compete in 2022
344,16,Love,Lies,Bleeding
345,16,Love Lies,is,queer thriller
346,16,Love Lies,is,queer erotic thriller
347,16,movie Love,Lies,Bleeding
348,16,It,'s set in,1980s
349,16,It,has,set in 1980s as gym manager
350,16,It,has,set
351,16,It,'s set in,late 1980s
352,16,It,'s set as,brooding gym manager
353,16,It,has,set in 1980s as brooding gym manager
354,16,It,has,set in late 1980s as brooding gym manager
355,16,It,'s set as,gym manager
356,16,It,has,set in late 1980s as gym manager
357,17,NCAA,Against,Trans Agenda
358,17,Women 's sports advocate Riley Gaines,has joined,15 athletes
359,17,Women,has,sports advocate
360,17,Women 's sports advocate Riley Gaines,has joined,15 other female athletes
361,17,Women 's sports advocate Riley Gaines,has joined,15 other athletes
362,17,Women 's sports advocate Riley Gaines,has joined,15 female athletes
363,18,Former students,speak at,Nex Benedict 's school
364,18,parents,speak on,bullying
365,18,parents,speak on,anti-LGBTQ bullying
366,18,Former students,speak on,bullying
367,18,Former students,speak on,anti-LGBTQ bullying
368,18,Nex Benedict,at,school
369,18,parents,speak at,Nex Benedict 's school
370,18,Nex Benedict,has,death
371,18,intensifying environment,is in,Oklahoma schools
372,19,dozen athletes,sue,NCAA
373,19,dozen athletes,sue NCAA over,their transgender participation policy
374,19,dozen athletes,sue NCAA over,their participation policy
375,19,lawsuit,stems from,NCAA policy
376,19,transgender athletes,compete in,category of their gender
377,19,athletes,compete in,category
378,19,transgender athletes,compete on,sport basis
379,19,athletes,compete on,sport basis
380,19,athletes,compete in,category of their affirmed gender
381,19,transgender athletes,compete in,category of their affirmed gender
382,19,athletes,compete in,category of their gender
383,19,athletes,compete on,sport by sport basis
384,19,transgender athletes,compete on,sport by sport basis
385,19,transgender athletes,compete in,category
386,20,wedding Down Under,is,event around which
387,20,Powell,’s,Ben orbit
388,20,wedding Down Under,is,event
389,20,lesbian wedding Down Under,is,event around which
390,20,lesbian wedding Down Under,is,event
391,20,wedding Down Under,is,central event
392,20,wedding Down Under,is,central event around which
393,20,lesbian wedding Down Under,is,central event
394,20,lesbian wedding Down Under,is,central event around which
395,20,Sweeney,’s,Bea
396,21,Hungary,’s,PM
397,21,Hungary ’s PM,urges,supporters
398,21,supporters,occupy,Brussels
399,21,Full Article,crowd at,event commemorating revolution
400,21,crowd,Read,Full Article
401,21,Article,crowd at,event revolution
402,21,Article,crowd at,event commemorating revolution
403,21,EU leadership,start,trembling
404,21,crowd,Read,Article
405,21,Full Article,crowd at,event revolution
406,21,Hungary,’s,aggrieved Prime Minister
407,21,crowd,Read Article at,RT.com
408,22,Transgender actor Elliot Page,is blasting,Hollywood producers
409,23,London,of,LGBTQ friendly fitness classes
410,23,Ryan Lanji,runs,sessions for people in LGBT community
411,23,Ryan Lanji,runs,sessions
412,23,Ryan Lanji,runs,sessions for people
413,23,people,is in,LGBT community
414,23,feel,marginalised by,mainstream gyms
415,24,Arizona Bookstore,Nixes Drag Show After,Backlash
416,24,They,Should Do in,Palestine
417,24,Arizona Bookstore,Nixes,Drag Show
418,24,Arizona Bookstore,Nixes,Drag Show for Palestine Event
419,24,drag,sort of,LGBTQ expression
420,25,University student Riley Strain,has,bank card
421,25,Authorities,discovered,Sunday
422,25,case,in clue is,Sunday
423,25,Authorities,discovered,clue in case
424,25,clue,is in,case of missing University of Missouri college student Riley Strain
425,25,Authorities,discovered,clue in case of missing University of Missouri college student Riley Strain
426,25,Authorities,discovered,clue in case of missing University college student Riley Strain
427,25,Authorities,discovered,clue in case of University college student Riley Strain
428,25,Authorities,discovered,clue
429,25,Authorities,discovered,clue in case of University of Missouri college student Riley Strain
430,26,Northern Ireland,has,gay community
431,26,picture,represent,Northern Ireland 's gay community
432,26,picture,represent,Northern Ireland 's community
433,27,women,’s,roller derby league
434,27,women ’s roller derby league,is standing up for,trans athletes
435,27,women,has,roller derby league in New York
436,27,women 's roller derby league,is suing,their county
437,27,women 's roller derby league,is in,New York
438,28,Colorado,May Become,First
439,28,First,Build,Prison Cells
440,28,First,Build,Prison Cells for Transgender Inmates
441,28,First,is in,Nation
442,28,Colorado,May Become,First in Nation
443,28,First,Build,Segregated Prison Cells
444,28,First,Build,Segregated Prison Cells for Transgender Inmates
445,28,transgender women,is in,prison
446,29,Sheikh Shadi Asuleiman,face here of,Islam
447,29,Australia,has,first home grown Imam
448,29,Sheikh Shadi Asuleiman,face of,Islam
449,29,Sheikh Shadi Asuleiman,is,Australia 's first home grown Imam
450,29,Sheikh Shadi Asuleiman,is,Australia 's Imam
451,29,Sheikh Shadi Asuleiman,is,Australia 's first grown Imam
452,29,Sheikh Shadi Asuleiman,changing face of,Islam
453,29,Sheikh Shadi Asuleiman,is,Australia 's grown Imam
454,29,Sheikh Shadi Asuleiman,is,Australia 's first Imam
455,29,Sheikh Shadi Asuleiman,changing face here of,Islam
456,29,Sheikh Shadi Asuleiman,is,Australia 's home grown Imam
457,30,Kingston,has,storied Grad Club as hikes
458,30,Queen,as,hikes
459,30,Kingston,for,LGBTQ community
460,30,It,been,gathering place
461,30,It,been,gathering place for Kingston 's LGBTQ community
462,31,The,is,transcript
463,31,The,is transcript of,interview
464,31,The,is transcript of,interview with Reps. Raja Krishnamoorthi
465,31,The,is transcript of,interview with Reps. Raja Krishnamoorthi that
466,31,The following,is transcript of,interview
467,31,The,is transcript of,interview that
468,31,The following,is transcript of,interview that
469,31,The following,is,transcript
470,31,The following,is transcript of,interview with Reps. Raja Krishnamoorthi
471,31,Reps. Raja Krishnamoorthi,Democrat of,Illinois
472,31,Mike Gallagher,Republican of,Wisconsin
473,31,The following,is transcript of,interview with Reps. Raja Krishnamoorthi that
474,32,Jenny Slate,talks,subjects
475,32,Jenny Slate,talks,subjects of her comedy
476,32,Jenny Slate,talks,subjects of her comedy special
477,32,her,comedy,Seasoned Professional
478,32,Jenny Slate,talks,subjects of her new comedy
479,32,Jenny Slate,talks subjects about,childbirth
480,32,Jenny Slate,talks,subjects of her new comedy special
481,32,She,'ll do,voices including Marcel from her nominated film Marcel
482,32,She,'ll do,voices of some of her animated characters including Marcel
483,32,She,'ll do,voices including Marcel from her film Marcel
484,32,She,'ll do,voices
485,32,She,'ll do,voices of some
486,32,She,'ll do,voices of some her animated characters including Marcel
487,32,She,'ll do,voices of some of her characters including Marcel from her Oscar nominated film Marcel
488,32,Shell,is with,Shoes On.Also
489,32,She,'ll do,voices of some including Marcel
490,32,She,'ll do,voices of some of her characters including Marcel from her nominated film Marcel
491,32,She,'ll do,voices of some her characters
492,32,She,'ll do,voices of some her characters including Marcel from her Oscar nominated film Marcel
493,32,She,'ll do,voices including Marcel
494,32,She,'ll do,voices of some of her animated characters including Marcel from her nominated film Marcel
495,32,She,'ll do,voices of some of her animated characters
496,32,She,'ll do,voices of some of her characters including Marcel from her film Marcel
497,32,She,'ll do,voices including Marcel from her Oscar nominated film Marcel
498,32,She,'ll do,voices of some of her characters including Marcel
499,32,She,'ll do,voices of some her animated characters including Marcel from her nominated film Marcel
500,32,She,'ll do,voices of some including Marcel from her Oscar nominated film Marcel
501,32,She,'ll do,voices of some including Marcel from her nominated film Marcel
502,32,She,'ll do,voices of some of her animated characters including Marcel from her film Marcel
503,32,She,'ll do,voices of some of her characters
504,32,She,'ll do,voices of some including Marcel from her film Marcel
505,32,She,'ll do,voices of some her animated characters including Marcel from her Oscar nominated film Marcel
506,32,She,'ll do,voices of some her characters including Marcel from her nominated film Marcel
507,32,She,'ll do,voices of some her animated characters
508,32,She,'ll do,voices of some her animated characters including Marcel from her film Marcel
509,32,She,'ll do,voices of some of her animated characters including Marcel from her Oscar nominated film Marcel
510,32,She,'ll do,voices of some her characters including Marcel
511,32,She,'ll do,voices of some her characters including Marcel from her film Marcel
512,33,media,be,toxic
513,33,social media,be,toxic
514,33,Lauren Sundstrom,have,large media followings
515,33,Lauren Sundstrom,have,media followings
516,33,Fae Johnstone,have,large media followings
517,33,Fae Johnstone,have,large social media followings
518,33,Fae Johnstone,have,media followings
519,33,Lauren Sundstrom,have,social media followings
520,33,Fae Johnstone,have,social media followings
521,33,Lauren Sundstrom,have,large social media followings
522,34,LGBTQ,doubled in,last 12 years
523,34,LGBTQ,doubled in,12 years
524,34,LGBTQ,more doubled in,12 years
525,34,LGBTQ,more doubled in,last 12 years
526,34,number,doubled since,2012
