,author,title,description,url,urlToImage,publishedAt,content,source_id,source_name
10,Trudy Ring,"Yes, J.K. Rowling, the Nazis persecuted trans people, burned books","J.K. Rowling, well known for her anti-transgender stances, recently questioned a social media post that said Germany’s Nazi regime burned books on trans health care, suggesting it might be a “fever dream” and that the poster should do some fact-checking. Well…",https://www.advocate.com/transgender/jk-rowling-nazis-persecuted-transgender,https://www.advocate.com/media-library/jk-rowling-berlin-nazis-burning-books-german-sexologist-magnus-hirschfeld.jpg?id=51741978&width=1200&height=600&coordinates=0%2C2%2C0%2C76,2024-03-15T10:00:06Z,"J.K. Rowling, well known for her anti-transgender stances, recently questioned a social media post that said Germanys Nazi regime burned books on trans health care, suggesting it might be a fever dre… [+3566 chars]",,Advocate.com
11,Christopher Wiggins,"Toxicology experts say death from medications in Nex Benedict case ‘very, very uncommon’","The death of Nex Benedict, a 16-year-old transgender student of Indigenous heritage from Oklahoma who used he, him, they, and them pronouns, has ignited a nationwide debate on several issues, including the rampant bullying faced by LGBTQ+ students in schools …",https://www.advocate.com/news/nex-benedict-drugs-toxicology-experts,https://www.advocate.com/media-library/colorful-pills-spill-from-bottle-nex-benedict.jpg?id=51750601&width=1200&height=600&coordinates=0%2C0%2C0%2C78,2024-03-15T18:51:43Z,"The death of Nex Benedict, a 16-year-old transgender student of Indigenous heritage from Oklahoma who used he, him, they, and them pronouns, has ignited a nationwide debate on several issues, includi… [+9827 chars]",,Advocate.com
12,David D. Kirkpatrick,"Mike Johnson, the First Proudly Trumpian Speaker","Though he has adopted a “nerd constitutional-law guy” persona, he is in lockstep with the law-flouting former President, David D. Kirkpatrick writes.",https://www.newyorker.com/magazine/2024/03/25/mike-johnson-profile,"https://media.newyorker.com/photos/65f0b41b2fdb54d47e4031ad/16:9/w_1280,c_limit/r43944.jpg",2024-03-15T10:00:00Z,"Johnson seldom wastes an opportunity to flatter a Republican colleague. He told me that Tom McClintock, of California, a relatively little-known congressman whom Johnson trounced in the race to lead … [+10350 chars]",,The New Yorker
13,Tracy E. Gilchrist,Check out the lesbian wedding at the center of 'Anyone But You',The romcom Anyone But You stars Sydney Sweeney and Glenn Powell as star-crossed loves who initially can’t stand each other a la Much Ado About Nothing. But a lesbian wedding Down Under is the central event around which Sweeney’s Bea and Powell’s Ben orbit. Qu…,https://www.advocate.com/arts-entertainment/anyone-but-you-lesbian-wedding,https://www.advocate.com/media-library/hadley-robinson-as-halle-and-alexandra-shipp-as-claudia-in-anyone-but-you.png?id=51742443&width=1200&height=600&coordinates=0%2C0%2C0%2C60,2024-03-16T16:41:39Z,The romcom Anyone But You stars Sydney Sweeney and Glenn Powell as star-crossed loves who initially cant stand each other a la Much Ado About Nothing. But a lesbian wedding Down Under is the central … [+1341 chars],,Advocate.com
14,Martina Schwikowski,LGBTQ+ in Africa: How the US far-right whips up homophobia,"Tough laws targeting homosexual acts or abortion in African nations are often preceded by the lobbying of American hardliners. Often well-financed, they campaign against equality and diversity.",https://www.dw.com/en/lgbtq-in-africa-how-the-us-far-right-whips-up-homophobia/a-68562333,https://static.dw.com/image/68563188_6.jpg,2024-03-15T18:20:00Z,"Fundamentalist Christian churches from the United States are increasingly gaining power and influence in societies and political spheres across Africa.
Many of them whip up negative sentiments again… [+4916 chars]",,DW (English)
15,Greg Allen,Gov. Ron DeSantis' war on 'woke' appears to be losing steam in Florida,"A federal court recently blocked most of a key DeSantis measure, the Stop WOKE Act. Courts have ruled against a number of the governor's conservative initiatives.",https://www.npr.org/2024/03/15/1238272873/desantis-woke-dont-say-gay-florida-stop-woke,https://media.npr.org/assets/img/2024/03/15/ron_wide-0dce91456bcad1c9428b106a131f46d219a724e3-s1400-c100.jpg,2024-03-15T13:54:43Z,"Florida Gov. Ron DeSantis
Jared C. Tilton/Getty Images
In Florida, Gov. Ron DeSantis' campaign against ideas he considers ""woke"" has run into some roadblocks. 
A court settlement this week blunted… [+5034 chars]",,NPR
16,RT,Hungary’s PM urges supporters to ‘occupy Brussels’,"The EU leadership should “start trembling,” Hungary’s aggrieved Prime Minister Viktor Orban tells crowd at event commemorating revolution Read Full Article at RT.com",https://www.rt.com/news/594359-orban-hungary-eu-occupy/,https://mf.b37mrtl.ru/files/2024.03/article/65f5aef22030272eb75d9919.jpg,2024-03-16T15:20:37Z,"Hungary’s Prime Minister Viktor Orban has said that he and his supporters are ready to march on Brussels to defend their country’s sovereignty within the EU.
Orban gave the warning on Friday in a fi… [+2167 chars]",rt,RT
17,The Associated Press,College swimmers and volleyball players sue NCAA over transgender policies,"Riley Gaines was among the college athletes who filed a lawsuit against the NCAA, accusing it of violating Title IX rights by allowing transgender swimmer Lia Thomas to compete.",https://www.nbcnews.com/news/us-news/college-swimmers-volleyball-players-sue-ncaa-transgender-policies-rcna143563,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2024-03/240315-Riley-Gaines-al-0939-1b7c6b.jpg",2024-03-15T13:52:12Z,"ATLANTA Former Kentucky swimmer Riley Gaines was among more than a dozen college athletes who filed a lawsuit against the NCAA on Thursday, accusing it of violating their Title IX rights by allowing … [+2785 chars]",nbc-news,NBC News
18,Ryan Adamczeski,This women’s roller derby league is standing up for trans athletes by suing their county,A women's roller derby league in New York is suing their county over an ordinance that bans female sports teams with transgender athletes from using local facilities.,https://www.advocate.com/news/womens-roller-derby-ny-transgender,https://www.advocate.com/media-library/a-person-rollerskating.jpg?id=51719561&width=1200&height=600&coordinates=0%2C39%2C0%2C39,2024-03-16T16:29:04Z,"A women's roller derby league in New York is suing their county over an ordinance that bans female sports teams with transgender athletes from using local facilities.
Nassau County Executive Bruce B… [+1988 chars]",,Advocate.com
19,Aisha Harris,'Love Lies Bleeding' is the queer erotic thriller Kristen Stewart fans have wanted,"The movie Love Lies Bleeding is a fun and weird erotic thriller. It's set in the late 1980s and stars Kristen Stewart as a brooding gym manager who falls in love with a hitchhiking bodybuilder, played by Katy O'Brian. Directed by Rose Glass (Saint Maud), the …",https://www.npr.org/2024/03/15/1197962965/love-lies-bleeding-is-the-queer-erotic-thriller-kristen-stewart-fans-have-wanted,https://media.npr.org/assets/img/2024/03/14/loveliesbleeding_wide-7de9fe87e58714a90469b9802f8f87b95edc2598-s1400-c100.jpg,2024-03-15T07:00:00Z,"Katy O'Brian and Kristen Stewart in Love Lies Bleeding.
A24
The movie Love Lies Bleeding is a fun and weird erotic thriller. It's set in the late 1980s and stars Kristen Stewart as a brooding gym m… [+233 chars]",,NPR
20,"Warner Todd Huston, Warner Todd Huston",Riley Gaines: 'It's Time We Fight Back' Against NCAA's Trans Agenda,Women's sports advocate Riley Gaines has joined 15 other female athletes in a lawsuit against the NCAA over its transgender agenda.,https://www.breitbart.com/sports/2024/03/15/riley-gaines-its-time-we-fight-back-against-ncaas-trans-agenda/,https://media.breitbart.com/media/2023/10/former-collegiate-swimmer-Riley-Gaines-Apr2023-ap-640x480-1-640x335.jpg,2024-03-15T18:22:09Z,"Women’s sports advocate Riley Gaines has joined 15 other female athletes in a lawsuit against the National Collegiate Athletics Association (NCAA) over its transgender agenda, and now she is speaking… [+4075 chars]",breitbart-news,Breitbart News
21,Ryan Adamczeski,"Pornhub suspends Texas access over age verification: 'Ineffective, haphazard, & dangerous'","Pornhub said the law infringes ""on the rights of adults to access protected speech"" while ""employing the least effective and yet also most restrictive"" policies.",https://www.advocate.com/news/pornhub-texas-age-verification,https://www.advocate.com/media-library/pornhub-logo-gay-man-laptop-cell-phone-dark-night-bed.jpg?id=51751442&width=1200&height=600&coordinates=0%2C0%2C0%2C78,2024-03-15T21:02:26Z,"Pornhub has suspended access to users in Texas after an appeals court upheld a law requiring users to verify their age.
Texas lawmakers passed House Bill 1181 in 2023, which requires users to verify… [+3371 chars]",,Advocate.com
22,Lawrence Hurley,Supreme Court declines to lift ban on Texas college campus drag show,"The Supreme Court rules on an LGBTQ student group's challenge to West Texas A&M University's decision to bar a ""PG-13"" drag show on campus.",https://www.nbcnews.com/politics/supreme-court/supreme-court-declines-lift-ban-texas-college-campus-drag-show-rcna143141,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2024-03/240313-west-texas-a-and-m-drag-protest-vl-300p-98716f.jpg",2024-03-15T17:19:23Z,WASHINGTON The Supreme Court on Friday rejected a request made by an LGBTQ student group that was hoping to host a PG-13 drag show on the campus of West Texas A&amp;M University over the objections o… [+2532 chars],nbc-news,NBC News
23,NPR,Best Of: Jenny Slate / Julio Torres,"Jenny Slate talks about childbirth and motherhood, the subjects of her new comedy special, Seasoned Professional. She'll do the voices of some of her animated characters, including Marcel from her Oscar-nominated film Marcel the Shell with Shoes On.Also, we h…",https://www.npr.org/2024/03/16/1197964003/slate-torres,https://media.npr.org/include/images/facebook-default-wide-s1400-c100.jpg,2024-03-16T07:00:00Z,"Jenny Slate talks about childbirth and motherhood, the subjects of her new comedy special, Seasoned Professional. She'll do the voices of some of her animated characters, including Marcel from her Os… [+351 chars]",,NPR
24,KOCO - Oklahoma City Videos,Rezoning fight pits Surrey Hills neighborhood against owner of beloved ballfield,Rezoning fight pits Surrey Hills neighborhood against owner of beloved ballfield,https://www.yahoo.com/news/rezoning-fight-pits-surrey-hills-001210625.html,https://s.yimg.com/ny/api/res/1.2/pTkdtm5DG7_9ySBMGlf0sQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/video.koco.hearstnews.com/13e774821ac43312f0aa0dc916ed2018,2024-03-16T00:12:10Z,"Former Kentucky swimmer Riley Gaines was among more than a dozen college athletes who filed a lawsuit against the NCAA on Thursday, accusing it of violating their Title IX rights by allowing transgen… [+461 chars]",,Yahoo Entertainment
25,"John Nolte, John Nolte",Nolte: Democrat-Run Chicago Only City with Lower Population Today Than in 2000,"Out of 25 major cities, Democrat-run Chicago is the only one to have experienced a net population loss compared to the year 2000.",https://www.breitbart.com/local/2024/03/15/nolte-democrat-run-chicago-only-city-with-lower-population-today-than-in-2000/,https://media.breitbart.com/media/2024/03/Chicago-640x335.jpg,2024-03-15T19:33:16Z,"Out of 25 major cities, Democrat-run Chicago is the only one to have experienced a net population loss compared to the year 2000.
Since 2000, Chicago has lost 231,000 people net despite the fact tha… [+3127 chars]",breitbart-news,Breitbart News
26,Cassie B.,Trans Pentagon official caught on video saying the government should repeal the Second Amendment and take peopleâs guns away,A Department of Defense employee whose job is telling Pentagon officials what to say in congressional hearings was caught on video saying that the Second Amendment should be repealed and that only the U.S. government should be allowed to have guns. The man in…,https://www.naturalnews.com/2024-03-15-pentagon-official-repeal-second-amendment.html,https://www.naturalnews.com/wp-content/uploads/sites/91/2024/03/Second-Amendment-Guns.jpg,2024-03-15T06:00:00Z,A Department of Defense employee whose job is telling Pentagon officials what to say in congressional hearings was caught on video saying that the Second Amendment should be repealed and that only th… [+3663 chars],,Naturalnews.com
27,"Lucas Nolan, Lucas Nolan",Lawsuit: Woke Google Discriminated Against Diversity 'Poster Child' Based on Race and Disability,"Jalon Hall, a black woman who worked at Google and was treated as a poster child for diversity based on her deafness, has accused the tech giant of subjecting her to both racism and ""audism,"" discrimination based on her hearing disability.",https://www.breitbart.com/tech/2024/03/15/lawsuit-woke-google-discriminated-against-diversity-poster-child-based-on-race-and-disability/,https://media.breitbart.com/media/2024/03/deaf-Google-employee-Jalon-Hall-640x335.jpg,2024-03-15T15:37:04Z,"Jalon Hall, a black woman who worked at Google and was treated as a poster child for diversity based on her race and deafness, has accused the tech giant of subjecting her to both racism and “audism,… [+3966 chars]",breitbart-news,Breitbart News
28,"Alex York, Forbes Staff, 
 Alex York, Forbes Staff
 https://www.forbes.com/sites/alexyork/","From Brain-Controlled Devices To How To Attract Gen Zs, These Are The Under 30 Alum Ideas Powering SXSW","Forbes Under 30 takes SXSW, plus: How Taylor Cassidy Is Turning TikTok Trends Into Lessons On Black History",https://www.forbes.com/sites/alexyork/2024/03/15/from-brain-controlled-devices-to-how-to-attract-gen-zs-these-are-the-under-30-alum-ideas-powering-sxsw/,"https://imageio.forbes.com/specials-images/imageserve/65f35305e61187dd567f2169/0x0.jpg?format=jpg&crop=3000,2000,x0,y0,safe&height=900&width=1600&fit=bounds",2024-03-15T12:00:00Z,"Under 30 alum Selena Gomez shares her mental health journey on stage at SXSW in Austin, Texas.
SXSW Conference &amp; Festivals via Getty Images
If you could enhance one aspect of your brain with AI… [+11080 chars]",,Forbes
29,"Toni Fitzgerald, Senior Contributor, 
 Toni Fitzgerald, Senior Contributor
 https://www.forbes.com/sites/tonifitzgerald/",The 35 Top Audiobooks Worth Listening To,Get ready to enjoy compelling stories without reading from a page. Check out our list of the best audiobooks for anyone looking for a captivating listen.,https://www.forbes.com/sites/entertainment/article/best-audiobooks/,"https://imageio.forbes.com/specials-images/imageserve/65f343eead1e87b1d08a7cb9/0x0.jpg?format=jpg&crop=3816,2148,x0,y391,safe&height=900&width=1600&fit=bounds",2024-03-16T18:00:00Z,"Actor Geoffrey McGivern reads at the ""Hitchhikers Guide To The Galaxy"" 30th anniversary event, on ... [+] March 12, 2008, in London.
Future via Getty Images
Audiobooks offer the best of both worlds… [+25708 chars]",,Forbes
30,Deutsche Welle,Hungary: Orban calls for voter support to 'occupy Brussels',"Prime Minister Viktor Orban has given a fiery speech on the anniversary of Hungary's 1848 revolution. He railed against EU policy, and said he'd need voters' support to ""occupy"" Brussels and change it from within.",https://www.dw.com/en/hungary-orban-calls-for-voter-support-to-occupy-brussels/a-68553142,https://static.dw.com/image/68378615_6.jpg,2024-03-15T16:01:00Z,"Hungary's Prime Minister Viktor Orban lobbied for public support for his under-fire Fidesz party in European Parliament elections this summer during a speech in Budapest on Friday, saying it was nece… [+5076 chars]",,DW (English)
31,"Lisa Kocay, Contributor, 
 Lisa Kocay, Contributor
 https://www.forbes.com/sites/lisakocay/",15 Questions With Coco & Breezy: A Sisterly Duo Pushing The Boundaries Of Sound,"When Coco & Breezy step behind the decks, it’s more than just a set. It’s a venture into their world, one that’s focused on community, joy and the history of dance music.",https://www.forbes.com/sites/lisakocay/2024/03/15/15-questions-with-coco--breezy-a-sisterly-duo-pushing-the-boundaries-of-sound/,"https://imageio.forbes.com/specials-images/imageserve/65f51742b50fc137258bb69b/0x0.jpg?format=jpg&crop=2500,1407,x0,y189,safe&height=900&width=1600&fit=bounds",2024-03-16T03:57:44Z,"Coco &amp; Breezy.
Ricardo Guidini
When Coco &amp; Breezy step behind the decks, its more than just a set. Its a venture into their world, one thats focused on community, joy and the history of dan… [+24608 chars]",,Forbes
32,Kendall Tietz,"Marriage promotes 'White supremacy,' according to White university professor",George Mason University professor Bethany Letiecq blames marriage for a societal culture of 'White heteropatriarchal supremacy' and called for its disruption.,https://www.foxnews.com/media/marriage-promotes-white-supremacy-university-professor,https://static.foxnews.com/foxnews.com/content/uploads/2018/09/istock-528280324.jpg,2024-03-15T22:00:46Z,"""Marriage fundamentalism"" promotes the ideas of ""White supremacy,"" according to a White George Mason University professor. 
Professor Bethany Letiecq wrote in the
 Journal of Marriage and Family ab… [+3467 chars]",fox-news,Fox News
33,"James P. Pinkerton, James P. Pinkerton",Pinkerton: Why Only 16% of Americans Have Confidence in the Federal Government and What to Do About It,"If more than four in five Americans mistrust the federal edifice, the phenomenon is bipartisan and far-reaching. What should we do about it?",https://www.breitbart.com/politics/2024/03/16/pinkerton-why-only-16-of-americans-have-confidence-in-the-federal-government-and-what-to-do-about-it/,https://media.breitbart.com/media/2024/03/divided-government-640x335.jpeg,2024-03-16T23:02:34Z,"Just 16 percent of Americans have confidence in the federal government. No surprise. 
Looking back at this polling series by the Pew Research Center, we see that public confidence in the federal gov… [+9417 chars]",breitbart-news,Breitbart News
34,Suzanne Nuyen,Putin all but certain to win Russia's election; Chicago to begin evicting migrants,Russians are voting in a three-day election Putin is almost certain to win. Chicago will begin evicting migrants from shelters tomorrow when a 60-day shelter limit goes into effect.,https://www.npr.org/2024/03/15/1238755231/up-first-newsletter-vladimir-putin-russia-election-chicago-migrant-eviction,https://media.npr.org/assets/img/2024/03/15/gettyimages-2065365680_wide-6d076c691034446a0f1c1b680902273e5d6f0bb3-s1400-c100.jpg,2024-03-15T12:00:17Z,"Good morning. You're reading the Up First newsletter. Subscribe here to get it delivered to your inbox, and listen to the Up First podcast for all the news you need to start your day.
Today's top st… [+6476 chars]",,NPR
35,Maegan Vazquez,"As Trump visits Ohio, attacks in GOP Senate race get increasingly personal",The former president held a rally Saturday in support of candidate Bernie Moreno ahead of Tuesday’s primary.,https://www.washingtonpost.com/politics/2024/03/16/ohio-senate-republican-primary/,https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/F36KJO3O3HDTIND767H6E4O664.jpg&w=1440,2024-03-16T22:41:04Z,"In the final days before Ohio Republicans cast their votes to select a Senate candidate to challenge incumbent Sen. Sherrod Brown (D), political jabs in the GOP race have gotten increasingly personal… [+4547 chars]",the-washington-post,The Washington Post
36,Rebecca Cohen and Marlene Lenthang and John Filippelli,Nashville bar says missing Mizzou student was served only 1 drink before he disappeared,"The University of Missouri student who went missing after being kicked out of a Nashville bar was served only one drink before he was asked to leave country music star Luke Bryan’s bar, the owners said.",https://www.nbcnews.com/news/us-news/missing-mizzou-student-riley-strain-was-served-only-1-drink-nashville-rcna143681,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2024-03/240314-riley-strain-vl-229p-12e1e0.jpg",2024-03-16T00:38:41Z,"The University of Missouri student who went missing after being kicked out of a Nashville bar was served only one drink before he was asked to leave country music star Luke Bryans bar, the owners sai… [+3137 chars]",nbc-news,NBC News
37,"Paul Bois, Paul Bois","Fired by Disney, Gina Carano Decries Studio's Woke 'Reeducation Camp' and Reveals Hollywood's 'Unforgivable Sin'","Actress Gina Carano, who has recently filed a lawsuit against Disney for firing her from ""The Mandalorian"" for merely expressing opinions, decried Hollywood's ""unforgivable sin"" of punishing those who do not perfectly conform to a given agenda.",https://www.breitbart.com/entertainment/2024/03/16/gina-carano-decries-hollywoods-unforgivable-sin-a-person-who-wouldnt-perfectly-conform/,https://media.breitbart.com/media/2024/03/GinaCarano5-640x335.jpg,2024-03-16T20:28:04Z,"Actress Gina Carano, who has recently filed a lawsuit against Disney for firing her from The Mandalorian for merely expressing opinions, decried Hollywood’s “unforgivable sin” of punishing those who … [+3641 chars]",breitbart-news,Breitbart News
38,Ryan Morik,Planet Fitness revokes woman's membership after she snapped photo of transgender woman in women's locker room,A woman had her Planet Fitness membership revoked after she took a photo of a transgender women in the women's locker room at one of their gyms.,https://www.foxnews.com/sports/planet-fitness-revokes-womans-membership-snapped-photo-transgender-woman-womens-locker-room,https://static.foxnews.com/foxnews.com/content/uploads/2024/03/pf-1.jpg,2024-03-15T19:38:02Z,"Join Fox News for access to this content
Plus special access to select articles and other premium content with your account - free of charge.
Please enter a valid email address.
By entering your e… [+3686 chars]",fox-news,Fox News
39,Chris Pandolfo,"Nex Benedict: Trans activists, WH seize on 'non-binary' teen's death as full report awaited",,https://www.foxnews.com/us/nex-benedict-trans-activists-wh-seize-non-binary-teens-death-full-report-awaited,https://static.foxnews.com/foxnews.com/content/uploads/2024/03/nex-benedict.jpg,2024-03-16T16:51:55Z,"Join Fox News for access to this content
Plus special access to select articles and other premium content with your account - free of charge.
Please enter a valid email address.
By entering your e… [+6745 chars]",fox-news,Fox News
40,Kendall Tietz,Ex-Disney star Gina Carano blasts 'unforgivable sin in Hollywood': 'A person who wouldn't perfectly conform',"Carano said the 'Hollywood press' made her 'into this extreme right-wing thing' that she said she isn't, but still, she became 'unhirable.'",https://www.foxnews.com/media/ex-disney-star-gina-carano-blasts-unforgivable-sin-hollywood-person-wouldnt-perfectly-conform,https://static.foxnews.com/foxnews.com/content/uploads/2022/08/gina-carano-star-wars.jpg,2024-03-16T13:30:07Z,"Join Fox News for access to this content
Plus special access to select articles and other premium content with your account - free of charge.
Please enter a valid email address.
By entering your e… [+7263 chars]",fox-news,Fox News
41,"Simon Kent, Simon Kent",Singer Renee Rapp Calls for Permanent Gaza Ceasefire at GLAAD Media Awards,Singer and actress Renée Rapp called for all combatants in Gaza to lay down their arms and begin an “immediate” and “permanent ceasefire”  during her acceptance speech at the annual GLAAD Media Awards in Los Angeles.,https://www.breitbart.com/entertainment/2024/03/15/singer-renee-rapp-calls-for-permanent-gaza-ceasefire-at-glaad-media-awards/,https://media.breitbart.com/media/2024/03/Renée-Rapp-640x335.jpg,2024-03-15T10:13:26Z,Singer and actress Renée Rapp called for all combatants in Gaza to lay down their arms and begin an immediate and permanent ceasefire  during her acceptance speech at the GLAAD Media Awards in Los An… [+1283 chars],breitbart-news,Breitbart News
